planet_name,planet_type,host_star_name,star_id,spectral_type,mass_multiplier,mass_wrt,orbital_period_days,radius_wrt,radius_multiplier,distance,discovery_year,planet_id
Kepler-1361 b,Terrestrial,Kepler-1361,440,,0.566,Earth,3.57554956,Earth,0.86,1269.0,2016,229
Kepler-224 c,Neptune-like,Kepler-224,2394,,9.91,Earth,5.925003,Jupiter,0.278,2551.0,2014,230
Kepler-887 c,Super Earth,Kepler-887,1741,,1.51,Earth,7.63846023,Earth,1.13,2892.0,2016,231
Kepler-1211 b,Neptune-like,Kepler-1211,2877,,7.04,Earth,11.01816836,Jupiter,0.227,5958.0,2016,232
Kepler-5 b,Gas Giant,Kepler-5,260,,2.111,Jupiter,3.5484657,Jupiter,1.426,2935.0,2009,233
KMT-2021-BLG-1077L c,Gas Giant,KMT-2021-BLG-1077L,1436,M V,0.25,Jupiter,,Jupiter,0.949,26879.0,2022,234
TOI-530 b,Gas Giant,TOI-530,1391,,0.4,Jupiter,6.387597,Jupiter,0.83,485.0,2021,235
TOI-540 b,Terrestrial,TOI-540,3488,M V,0.674,Earth,1.2391491,Earth,0.903,46.0,2020,236
Kepler-766 b,Neptune-like,Kepler-766,1520,,11.4,Earth,6.10027804,Jupiter,0.302,7495.0,2016,237
Kepler-21 b,Super Earth,Kepler-21,2926,F6 IV,5.08,Earth,2.7858212,Earth,1.639,354.0,2012,238
HD 213885 b,Super Earth,HD 213885,1237,G,8.83,Earth,1.008035,Earth,1.745,157.0,2019,239
HAT-P-20 b,Gas Giant,HAT-P-20,928,K3,7.246,Jupiter,2.875317,Jupiter,0.867,232.0,2010,240
Kepler-103 b,Neptune-like,Kepler-103,18,,9.7,Earth,15.9653287,Jupiter,0.301,1614.0,2014,241
Kepler-487 c,Neptune-like,Kepler-487,2946,,7.65,Earth,38.6519976,Jupiter,0.239,2846.0,2016,242
Kepler-1627 b,Neptune-like,Kepler-1627,1300,,13.2,Earth,7.20283653,Jupiter,0.329,1035.0,2016,243
Kepler-1312 b,Neptune-like,Kepler-1312,3929,,5.06,Earth,5.44832529,Earth,2.1,976.0,2016,244
WD 1856+534 b,Gas Giant,WD 1856+534,2763,,13.8,Jupiter,1.4079405,Jupiter,0.928,81.0,2020,245
Kepler-529 d,Neptune-like,Kepler-529,2609,,8.22,Earth,35.86619949,Jupiter,0.249,2606.0,2021,246
HATS-71 b,Gas Giant,HATS-71,1557,M3 V,0.37,Jupiter,3.7955202,Jupiter,1.024,457.0,2020,247
K2-239 d,Super Earth,K2-239,2720,M3.0 V,1.37,Earth,10.115,Earth,1.1,101.0,2018,248
HAT-P-63 b,Gas Giant,HAT-P-63,1052,,0.614,Jupiter,3.377728,Jupiter,1.119,14624.0,2021,249
Kepler-1225 b,Super Earth,Kepler-1225,2245,,3.97,Earth,7.01075434,Earth,1.82,4396.0,2016,250
Kepler-217 b,Neptune-like,Kepler-217,151,,5.6,Earth,5.374943,Earth,2.23,3603.0,2014,251
Kepler-372 d,Super Earth,Kepler-372,1523,,3.5,Earth,30.092568,Earth,1.69,4873.0,2014,252
TOI-1130 c,Gas Giant,TOI-1130,2792,,0.974,Jupiter,8.3501898,Jupiter,1.5,190.0,2020,253
XO-5 b,Gas Giant,XO-5,1169,G8 V,1.19,Jupiter,4.1877558,Jupiter,1.14,901.0,2008,254
K2-294 b,Super Earth,K2-294,1688,,3.39,Earth,2.50387,Earth,1.66,1217.0,2019,255
EPIC 206024342 c,Super Earth,EPIC 206024342,189,,2.54,Earth,0.911724,Earth,1.4,1207.0,2021,256
K2-321 b,Super Earth,K2-321,3009,,4.46,Earth,2.2979749,Earth,1.95,253.0,2020,257
Kepler-1105 b,Super Earth,Kepler-1105,33,,4.7,Earth,4.42157218,Earth,2.01,1037.0,2016,258
Kepler-1759 b,Terrestrial,Kepler-1759,1424,,0.676,Earth,3.7202301,Earth,0.904,1257.0,2021,259
Kepler-124 b,Terrestrial,Kepler-124,1893,,0.315,Earth,3.410493,Earth,0.73,1370.0,2014,260
HD 69830 c,Neptune-like,HD 69830,1444,K0V,11.8,Earth,31.56,Jupiter,0.309,41.0,2006,261
K2-348 c,Neptune-like,K2-348,1031,,7.61,Earth,12.550171,Jupiter,0.238,658.0,2018,262
Kepler-1449 b,Super Earth,Kepler-1449,1159,,3.46,Earth,13.2274528,Earth,1.68,6545.0,2016,263
TOI-1685 b,Super Earth,TOI-1685,1095,M2.65 V,3.78,Earth,0.66913924,Earth,1.7,123.0,2021,264
K2-183 c,Neptune-like,K2-183,3842,,5.9,Earth,10.787992,Jupiter,0.205,1073.0,2018,265
Kepler-234 c,Neptune-like,Kepler-234,2927,,12.1,Earth,7.21205,Jupiter,0.313,5653.0,2014,266
1RXS J160929.1-210524 b,Gas Giant,1RXS J160929.1-210524,1119,K7 V,8.0,Jupiter,,Jupiter,1.664,454.0,2008,267
WASP-147 b,Gas Giant,WASP-147,2299,G4,0.275,Jupiter,4.60273,Jupiter,1.115,1423.0,2018,268
TOI-2076 c,Neptune-like,TOI-2076,992,K,12.0,Earth,21.015327,Jupiter,0.312,137.0,2021,269
Kepler-36 c,Neptune-like,Kepler-36,3062,,7.13,Earth,16.21865,Jupiter,0.328,1722.0,2012,270
Kepler-856 b,Gas Giant,Kepler-856,816,,0.199,Jupiter,8.02768059,Jupiter,0.83,4408.0,2016,271
K2-175 b,Super Earth,K2-175,2402,,4.81,Earth,9.525988,Earth,2.038,807.0,2018,272
TOI-1789 b,Gas Giant,TOI-1789,2437,F,0.7,Jupiter,3.208664,Jupiter,1.44,747.0,2021,273
K2-348 b,Neptune-like,K2-348,1031,,10.7,Earth,4.688418,Jupiter,0.291,658.0,2018,274
Kepler-1408 b,Terrestrial,Kepler-1408,3370,,0.64,Earth,2.99793191,Earth,0.89,1745.0,2016,275
TOI-1272 b,Neptune-like,TOI-1272,1759,,24.6,Earth,3.31599,Jupiter,0.369,449.0,2022,276
Kepler-189 c,Super Earth,Kepler-189,173,,22.7,Earth,20.134866,Jupiter,0.212,1930.0,2014,277
OGLE-2018-BLG-1011L c,Gas Giant,OGLE-2018-BLG-1011L,3911,,2.8,Jupiter,,Jupiter,1.18,23160.0,2019,278
HD 181433 d,Gas Giant,HD 181433,886,K3 IV,0.54,Jupiter,2172.0,Jupiter,1.27,88.0,2008,279
K2-195 b,Neptune-like,K2-195,592,,9.96,Earth,15.852975,Jupiter,0.279,1028.0,2018,280
HD 164604 b,Gas Giant,HD 164604,2040,K3.5 V,1.99792,Jupiter,641.472,Jupiter,1.19,128.0,2009,281
Kepler-1047 c,Terrestrial,Kepler-1047,560,,0.937,Earth,3.18897601,Earth,0.99,2667.0,2016,282
TOI-677 b,Gas Giant,TOI-677,1797,F8,1.236,Jupiter,11.2366,Jupiter,1.17,463.0,2020,283
Kepler-1894 b,Super Earth,Kepler-1894,1708,,1.87,Earth,2.76266003,Earth,1.201,3051.0,2021,284
HIP 34222 b,Gas Giant,HIP 34222,3016,K7 V,0.83,Jupiter,159.986,Jupiter,1.24,74.0,2021,285
Kepler-730 b,Gas Giant,Kepler-730,3385,,,,6.49168281,Jupiter,1.1,6312.0,2016,286
HAT-P-57 b,Gas Giant,HAT-P-57,2031,A8 V,1.41,Jupiter,2.4653,Jupiter,1.74,913.0,2015,287
Kepler-1942 b,Neptune-like,Kepler-1942,3725,,5.13,Earth,4.62604999,Earth,2.117,2748.0,2021,288
Kepler-567 b,Neptune-like,Kepler-567,91,,5.69,Earth,16.54297375,Jupiter,0.201,1823.0,2016,289
Kepler-559 b,Neptune-like,Kepler-559,235,,12.7,Earth,17.58752333,Jupiter,0.322,2534.0,2016,290
Kapteyn c,Neptune-like,Kapteyn,1277,M2.0V,7.0,Earth,121.54,Jupiter,0.227,13.0,2014,291
Kepler-1572 b,Terrestrial,Kepler-1572,3921,,0.779,Earth,5.49548621,Earth,0.94,3088.0,2016,292
Kepler-61 b,Neptune-like,Kepler-61,2757,K7 V,5.27,Earth,59.87756,Earth,2.15,1093.0,2013,293
Kepler-1215 b,Super Earth,Kepler-1215,2788,,1.98,Earth,4.76703963,Earth,1.22,2156.0,2016,294
Kepler-348 c,Super Earth,Kepler-348,1063,,2.33,Earth,17.265427,Earth,1.33,1862.0,2014,295
CoRoT-10 b,Gas Giant,CoRoT-10,1345,K1 V,2.75,Jupiter,13.2406,Jupiter,0.97,1104.0,2010,296
GJ 411 b,Super Earth,GJ 411,2200,M1.5 V,2.69,Earth,12.9394,Earth,1.45,19.0,2019,297
HD 188015 b,Gas Giant,HD 188015,273,G5 IV,1.5,Jupiter,461.2,Jupiter,1.21,165.0,2004,298
KELT-9 b,Gas Giant,KELT-9,1716,B9.5-A0,2.88,Jupiter,1.4811235,Jupiter,1.891,667.0,2017,299
KELT-19 A b,Gas Giant,KELT-19 A,254,A8 V,4.07,Jupiter,4.6117093,Jupiter,1.91,980.0,2017,300
NGTS-3 A b,Gas Giant,NGTS-3 A,3091,G6 V,2.38,Jupiter,1.6753728,Jupiter,1.48,2427.0,2018,301
Kepler-1039 b,Super Earth,Kepler-1039,3219,,2.73,Earth,0.93488424,Earth,1.46,1001.0,2016,302
Kepler-1506 b,Super Earth,Kepler-1506,3135,,2.3,Earth,14.0329154,Earth,1.32,7718.0,2016,303
K2-149 b,Super Earth,K2-149,536,M1.0 V,3.33,Earth,11.332,Earth,1.64,403.0,2018,304
Kepler-1407 b,Neptune-like,Kepler-1407,3426,,5.69,Earth,20.0711504,Jupiter,0.201,4555.0,2016,305
HD 11964 b,Gas Giant,HD 11964,3395,G9 V CN+1,0.622,Jupiter,1945.0,Jupiter,1.26,109.0,2005,306
Kepler-1306 b,Super Earth,Kepler-1306,3175,,4.31,Earth,16.29595382,Earth,1.91,3613.0,2016,307
HD 21411 b,Gas Giant,HD 21411,3505,G8 V,0.20734,Jupiter,84.288,Jupiter,0.85,95.0,2019,308
OGLE-2006-BLG-109L c,Gas Giant,OGLE-2006-BLG-109L,532,,0.27,Jupiter,4927.5,Jupiter,0.994,4926.0,2008,309
Kepler-176 c,Neptune-like,Kepler-176,3076,,23.0,Earth,12.759712,Jupiter,0.232,1720.0,2014,310
Kepler-585 b,Neptune-like,Kepler-585,1473,,8.4,Earth,2.75235975,Jupiter,0.252,1909.0,2016,311
WASP-79 b,Gas Giant,WASP-79,2860,F5,0.85,Jupiter,3.662392,Jupiter,1.67,805.0,2012,312
Kepler-1816 b,Super Earth,Kepler-1816,3368,,4.53,Earth,91.50099945,Earth,1.968,1428.0,2021,313
Kepler-1502 b,Neptune-like,Kepler-1502,155,,10.2,Earth,41.7083629,Jupiter,0.284,4939.0,2016,314
OGLE-2019-BLG-0362L b,Gas Giant,OGLE-2019-BLG-0362L,603,,3.26,Jupiter,,Jupiter,1.17,19017.0,2022,315
HD 192699 b,Gas Giant,HD 192699,699,G8 IV,2.096,Jupiter,340.94,Jupiter,1.19,234.0,2007,316
Kepler-342 c,Super Earth,Kepler-342,2912,,4.5,Earth,26.234138,Earth,1.96,2550.0,2014,317
HD 125390 b,Gas Giant,HD 125390,1493,G7 III,28.83791,Jupiter,1757.39151,Jupiter,1.06,501.0,2019,318
Kepler-936 b,Super Earth,Kepler-936,3121,,2.7,Earth,10.56134221,Earth,1.45,2686.0,2016,319
EPIC 206032309 b,Super Earth,EPIC 206032309,2489,,1.01,Earth,2.87814,Earth,1.01,526.0,2019,320
HD 15337 b,Super Earth,HD 15337,3696,K1 V,7.51,Earth,4.75615,Earth,1.64,146.0,2019,321
Kepler-243 c,Super Earth,Kepler-243,238,,4.62,Earth,20.026218,Earth,1.99,2263.0,2014,322
Kepler-804 b,Super Earth,Kepler-804,860,,4.42,Earth,14.37457351,Earth,1.94,2119.0,2016,323
KMT-2018-BLG-1743L b,Gas Giant,KMT-2018-BLG-1743L,3031,,0.245,Jupiter,,Jupiter,0.937,21148.0,2021,324
Kepler-476 b,Neptune-like,Kepler-476,1387,,9.69,Earth,14.00640607,Jupiter,0.275,2654.0,2016,325
Kepler-490 b,Gas Giant,Kepler-490,3096,,,,3.26869515,Jupiter,1.039,4968.0,2016,326
Kepler-150 f,Neptune-like,Kepler-150,3751,,12.9,Earth,637.2093,Jupiter,0.325,2907.0,2017,327
Kepler-1842 b,Neptune-like,Kepler-1842,1417,,6.14,Earth,14.02639961,Jupiter,0.21,3013.0,2021,328
Kepler-1844 b,Neptune-like,Kepler-1844,555,,9.46,Earth,3.92451,Jupiter,0.271,5886.0,2021,329
Kepler-1379 b,Super Earth,Kepler-1379,1930,,2.24,Earth,0.88184115,Earth,1.3,3168.0,2016,330
Kepler-1006 b,Super Earth,Kepler-1006,2556,,2.99,Earth,19.76172042,Earth,1.54,3529.0,2016,331
Kepler-1187 b,Neptune-like,Kepler-1187,1469,,7.32,Earth,18.87064068,Jupiter,0.233,3329.0,2016,332
HD 87883 b,Gas Giant,HD 87883,59,K0,5.36602,Jupiter,3309.22118,Jupiter,1.14,60.0,2009,333
Kepler-685 b,Gas Giant,Kepler-685,1834,,0.248,Jupiter,1.6255222,Jupiter,0.944,3062.0,2016,334
Kepler-1711 b,Super Earth,Kepler-1711,1607,,4.36,Earth,21.06080055,Earth,1.923,1925.0,2021,335
HD 34445 c,Gas Giant,HD 34445,1783,G0 V,0.168,Jupiter,214.67,Jupiter,0.752,150.0,2017,336
Kepler-19 b,Super Earth,Kepler-19,674,,8.4,Earth,9.28699,Earth,2.209,713.0,2011,337
HR 858 b,Super Earth,HR 858,3001,F6 V,5.0,Earth,3.58599,Earth,2.085,104.0,2019,338
Kepler-592 b,Neptune-like,Kepler-592,1123,,6.3,Earth,2.82019241,Jupiter,0.213,3762.0,2016,339
EPIC 201595106 b,Super Earth,EPIC 201595106,1480,,2.24,Earth,0.877214,Earth,1.3,757.0,2021,340
TYC 2187-512-1 b,Gas Giant,TYC 2187-512-1,1804,M1.0 V,0.33,Jupiter,691.9,Jupiter,1.12,50.0,2022,341
HD 102272 b,Gas Giant,HD 102272,694,K0,4.94,Jupiter,127.58,Jupiter,1.15,1132.0,2008,342
Kepler-343 c,Super Earth,Kepler-343,1025,,4.74,Earth,23.22182,Earth,2.02,3025.0,2014,343
KELT-6 c,Gas Giant,KELT-6,2920,F8,3.71,Jupiter,1276.0,Jupiter,1.16,785.0,2015,344
Kepler-1321 b,Neptune-like,Kepler-1321,191,,21.5,Earth,11.12830484,Jupiter,0.439,2509.0,2016,345
KELT-14 b,Gas Giant,KELT-14,2707,G4,1.284,Jupiter,1.7100566,Jupiter,1.743,816.0,2016,346
HD 127506 b,Neptune-like,HD 127506,3048,K3V,26.61699,Earth,65.78395,Jupiter,0.498,73.0,2022,347
Kepler-275 b,Neptune-like,Kepler-275,667,,6.08,Earth,10.300682,Jupiter,0.209,6636.0,2014,348
KOI-1783.01,Gas Giant,KOI-1783,3064,,0.22339,Jupiter,134.4628,Jupiter,0.79,2824.0,2020,349
K2-268 e,Super Earth,K2-268,2275,,2.33,Earth,6.131243,Earth,1.33,1069.0,2019,350
Kepler-664 b,Neptune-like,Kepler-664,425,,7.56,Earth,2.52559332,Jupiter,0.237,3947.0,2016,351
WASP-2 b,Gas Giant,WASP-2,3513,K1,0.931,Jupiter,2.152175,Jupiter,1.081,500.0,2007,352
WASP-14 b,Gas Giant,WASP-14,2510,,8.84,Jupiter,2.24375,Jupiter,1.38,528.0,2008,353
HAT-P-38 b,Gas Giant,HAT-P-38,632,G5,0.267,Jupiter,4.640382,Jupiter,0.825,832.0,2012,354
Kepler-482 b,Neptune-like,Kepler-482,2594,,6.17,Earth,56.35418576,Jupiter,0.211,1021.0,2016,355
Kepler-146 b,Neptune-like,Kepler-146,1939,,13.3,Earth,31.158799,Jupiter,0.331,2338.0,2014,356
WASP-78 b,Gas Giant,WASP-78,1875,,1.11,Jupiter,2.17518,Jupiter,1.93,2460.0,2012,357
Kepler-222 b,Neptune-like,Kepler-222,3351,,10.1,Earth,3.936981,Jupiter,0.282,2475.0,2014,358
MOA-2016-BLG-319L b,Gas Giant,MOA-2016-BLG-319L,450,,0.62,Jupiter,,Jupiter,1.26,22182.0,2018,359
GJ 229 A c,Neptune-like,GJ 229,491,,8.57613,Earth,121.93268,Jupiter,0.256,19.0,2020,360
HATS-51 b,Gas Giant,HATS-51,789,,0.768,Jupiter,3.3488702,Jupiter,1.41,1271.0,2017,361
HATS-36 b,Gas Giant,HATS-36,561,G0 V,3.216,Jupiter,4.175186,Jupiter,1.153,2794.0,2018,362
HATS-72 b,Gas Giant,HATS-72,1737,,39.85588,Earth,7.3279474,Jupiter,0.722,416.0,2020,363
POTS-1 b,Gas Giant,POTS-1,482,K5 V,2.31,Jupiter,3.1606296,Jupiter,0.941,2440.0,2013,364
Kepler-875 b,Neptune-like,Kepler-875,3366,,8.75,Earth,27.5073799,Jupiter,0.259,4053.0,2016,365
Kepler-123 c,Super Earth,Kepler-123,1082,,2.79,Earth,26.695074,Earth,1.48,3333.0,2014,366
Kepler-1495 b,Neptune-like,Kepler-1495,2751,,8.96,Earth,85.273256,Jupiter,0.262,4422.0,2016,367
HD 103197 b,Neptune-like,HD 103197,3092,K1 V(P),28.6047,Earth,47.84,Jupiter,0.52,186.0,2009,368
K2-379 b,Neptune-like,K2-379,2319,,5.4,Earth,8.777247,Earth,2.181,594.0,2022,369
Kepler-1180 b,Super Earth,Kepler-1180,3019,,4.62,Earth,16.8601286,Earth,1.99,5209.0,2016,370
Kepler-1775 b,Neptune-like,Kepler-1775,2910,,12.9,Earth,85.65399933,Jupiter,0.325,2143.0,2021,371
Kepler-775 b,Super Earth,Kepler-775,1132,,1.81,Earth,0.97486893,Earth,1.19,1300.0,2016,372
Kepler-342 d,Neptune-like,Kepler-342,2912,,6.76,Earth,39.459357,Jupiter,0.222,2550.0,2014,373
WASP-87 b,Gas Giant,WASP-87,1823,,2.18,Jupiter,1.682795,Jupiter,1.385,973.0,2016,374
Kepler-1847 b,Neptune-like,Kepler-1847,2632,,7.97,Earth,11.12969971,Jupiter,0.245,5525.0,2021,375
K2-187 e,Super Earth,K2-187,74,,4.27,Earth,13.606629,Earth,1.9,1079.0,2018,376
Kepler-164 d,Neptune-like,Kepler-164,1435,,6.57,Earth,28.986769,Jupiter,0.219,2906.0,2014,377
Kepler-178 c,Neptune-like,Kepler-178,3002,,8.65,Earth,20.552802,Jupiter,0.257,2336.0,2014,378
Kepler-154 e,Super Earth,Kepler-154,2798,,2.86,Earth,3.93276465,Earth,1.5,2985.0,2016,379
Kepler-1941 b,Neptune-like,Kepler-1941,1312,,7.51,Earth,31.33510017,Jupiter,0.236,4875.0,2021,380
HD 179949 b,Gas Giant,HD 179949,3865,F8 V,0.916,Jupiter,3.092514,Jupiter,1.24,90.0,2000,381
Kepler-107 e,Neptune-like,Kepler-107,357,,8.6,Earth,14.749143,Jupiter,0.259,1716.0,2014,382
Kepler-1262 b,Super Earth,Kepler-1262,1531,,3.97,Earth,8.67900242,Earth,1.82,3441.0,2016,383
Kepler-8 b,Gas Giant,Kepler-8,1247,,0.59,Jupiter,3.5224991,Jupiter,1.416,3333.0,2010,384
Kepler-334 d,Super Earth,Kepler-334,827,,2.57,Earth,25.09849,Earth,1.41,1392.0,2014,385
HD 221287 b,Gas Giant,HD 221287,119,F7 V,3.09,Jupiter,456.1,Jupiter,1.17,182.0,2007,386
Kepler-1336 b,Super Earth,Kepler-1336,1460,,4.58,Earth,23.198681,Earth,1.98,3675.0,2016,387
Kepler-310 b,Super Earth,Kepler-310,2661,,1.81,Earth,13.930698,Earth,1.19,1965.0,2014,388
Kepler-827 b,Neptune-like,Kepler-827,1252,,27.0,Earth,51.92927591,Jupiter,0.502,6676.0,2016,389
Kepler-358 c,Neptune-like,Kepler-358,2620,,8.5,Earth,83.488369,Jupiter,0.254,3592.0,2014,390
Kepler-1857 b,Super Earth,Kepler-1857,2464,,4.5,Earth,8.94340992,Earth,1.961,2783.0,2021,391
Kepler-357 b,Super Earth,Kepler-357,1539,,4.04,Earth,6.475434,Earth,1.84,2246.0,2014,392
Kepler-1251 b,Super Earth,Kepler-1251,1336,,4.04,Earth,45.0904643,Earth,1.84,2943.0,2016,393
HD 28109 d,Neptune-like,HD 28109,208,F8/G0 V,5.681,Earth,84.25999,Jupiter,0.29,455.0,2022,394
Kepler-1918 b,Neptune-like,Kepler-1918,2195,,5.89,Earth,47.0564003,Jupiter,0.205,3360.0,2021,395
K2-409 b,Neptune-like,K2-409,3298,G4,6.72,Earth,1.908084,Jupiter,0.221,1406.0,2022,396
Kepler-126 c,Super Earth,Kepler-126,3119,,3.12,Earth,21.869741,Earth,1.58,774.0,2014,397
Kepler-657 b,Neptune-like,Kepler-657,1694,,12.2,Earth,24.54350418,Jupiter,0.314,5519.0,2016,398
HD 211403 b,Gas Giant,HD 211403,1255,F7 V,5.54,Jupiter,223.8,Jupiter,1.14,271.0,2021,399
Kepler-1956 b,Super Earth,Kepler-1956,2373,,1.32,Earth,5.94371986,Earth,1.089,1176.0,2021,400
Kepler-1589 b,Super Earth,Kepler-1589,2591,,1.32,Earth,0.99166527,Earth,1.09,4936.0,2016,401
Kepler-439 b,Neptune-like,Kepler-439,3178,,5.65,Earth,178.1396,Jupiter,0.2,2469.0,2015,402
Kepler-1166 b,Super Earth,Kepler-1166,1975,,3.5,Earth,33.2406882,Earth,1.69,2071.0,2016,403
Kepler-1640 b,Neptune-like,Kepler-1640,1905,,20.7,Earth,7.5844126,Jupiter,0.43,6067.0,2016,404
K2-146 b,Super Earth,K2-146,3305,M3.0 V,5.77,Earth,2.6446,Earth,2.05,259.0,2018,405
Kepler-430 c,Super Earth,Kepler-430,1682,,3.71,Earth,110.979,Earth,1.75,2993.0,2015,406
Kepler-1456 b,Super Earth,Kepler-1456,521,,1.55,Earth,18.1373829,Earth,1.14,1208.0,2016,407
Kepler-615 b,Super Earth,Kepler-615,2522,,3.68,Earth,10.35584657,Earth,1.74,1076.0,2016,408
GJ 3138 c,Super Earth,GJ 3138,673,M0,4.18,Earth,5.974,Earth,1.88,93.0,2017,409
Kepler-648 b,Neptune-like,Kepler-648,1565,,10.5,Earth,17.4211749,Jupiter,0.287,2075.0,2016,410
HD 217107 b,Gas Giant,HD 217107,1134,G8 IV,1.3,Jupiter,7.12682,Jupiter,1.22,65.0,1998,411
K2-285 e,Neptune-like,K2-285,1112,K2 V,10.7,Earth,14.76289,Earth,1.95,505.0,2018,412
KMT-2021-BLG-0322L b,Gas Giant,KMT-2021-BLG-0322L,880,,6.4,Jupiter,,Jupiter,1.13,21529.0,2021,413
TOI-1696 b,Gas Giant,TOI-1696,3687,M5V,0.15354,Jupiter,2.500311,Jupiter,0.276,212.0,2022,414
K2-345 b,Neptune-like,K2-345,2680,,5.1,Earth,10.367437,Earth,2.11,530.0,2016,415
Kepler-396 c,Neptune-like,Kepler-396,3320,,17.9,Earth,88.505,Jupiter,0.473,730.0,2013,416
HD 63935 b,Neptune-like,HD 63935,2271,,10.8,Earth,9.058807,Jupiter,0.267,160.0,2021,417
HIP 109384 b,Gas Giant,HIP 109384,3695,G5,1.56,Jupiter,499.48,Jupiter,1.21,192.0,2016,418
Kepler-1028 b,Super Earth,Kepler-1028,3524,,2.33,Earth,2.51462432,Earth,1.33,1983.0,2016,419
WASP-159 b,Gas Giant,WASP-159,581,F9,0.55,Jupiter,3.840401,Jupiter,1.38,2334.0,2018,420
TOI-1235 b,Super Earth,TOI-1235,3185,M0.5 V,5.9,Earth,3.444714,Earth,1.694,129.0,2020,421
CoRoT-7 b,Super Earth,CoRoT-7,957,G9 V,4.07661,Earth,0.85359163,Earth,1.681,522.0,2009,422
Kepler-841 b,Neptune-like,Kepler-841,1110,,23.8,Earth,124.4198398,Jupiter,0.467,3259.0,2016,423
Kepler-1353 b,Super Earth,Kepler-1353,2367,,3.89,Earth,24.7543966,Earth,1.8,1936.0,2016,424
Kepler-104 b,Super Earth,Kepler-104,2032,,19.6,Earth,11.427548,Jupiter,0.277,1307.0,2014,425
MOA-2010-BLG-477L b,Gas Giant,MOA-2010-BLG-477L,2004,,1.5,Jupiter,,Jupiter,1.21,7503.0,2012,426
Kepler-1440 b,Super Earth,Kepler-1440,2144,,2.13,Earth,39.859484,Earth,1.26,3638.0,2016,427
Kepler-1560 b,Terrestrial,Kepler-1560,2965,,0.64,Earth,3.03195744,Earth,0.89,1639.0,2016,428
Kepler-48 d,Super Earth,Kepler-48,3379,,7.93,Earth,42.8961,Earth,2.04,1001.0,2014,429
Kepler-1260 b,Super Earth,Kepler-1260,1482,,3.78,Earth,19.1187753,Earth,1.77,5658.0,2016,430
K2-392 b,Super Earth,K2-392,2551,G3,4.08,Earth,15.398723,Earth,1.85,1328.0,2022,431
Kepler-203 b,Neptune-like,Kepler-203,1728,,7.13,Earth,3.162697,Jupiter,0.229,2294.0,2014,432
Kepler-1373 b,Super Earth,Kepler-1373,3211,,1.65,Earth,1.29123275,Earth,1.16,5544.0,2016,433
Kepler-1439 b,Super Earth,Kepler-1439,3946,,2.73,Earth,8.07392849,Earth,1.46,735.0,2016,434
Kepler-1242 b,Neptune-like,Kepler-1242,3115,,5.73,Earth,13.62798432,Jupiter,0.202,2243.0,2016,435
TOI-3540 A b,Gas Giant,TOI-3540 A,3264,,1.18,Jupiter,3.119999,Jupiter,2.1,,2022,436
GJ 357 c,Super Earth,GJ 357,858,M2.5 V,3.4,Earth,9.1247,Earth,1.66,31.0,2019,437
Kepler-208 c,Super Earth,Kepler-208,1320,,2.51,Earth,7.466623,Earth,1.39,2529.0,2014,438
Kepler-1839 b,Super Earth,Kepler-1839,2811,,4.46,Earth,5.05675983,Earth,1.949,3708.0,2021,439
Kepler-1272 b,Neptune-like,Kepler-1272,1671,,6.21,Earth,51.1309704,Jupiter,0.211,3935.0,2016,440
Kepler-1510 b,Neptune-like,Kepler-1510,1549,,11.2,Earth,84.703921,Jupiter,0.3,5533.0,2016,441
K2-316 b,Super Earth,K2-316,3313,,2.33,Earth,1.133,Earth,1.33,367.0,2020,442
EPIC 206317286 b,Terrestrial,EPIC 206317286,708,,0.84,Earth,1.58252,Earth,0.96,1025.0,2019,443
Kepler-1954 b,Super Earth,Kepler-1954,3470,,3.9,Earth,5.88343,Earth,1.802,4481.0,2021,444
Kepler-149 d,Neptune-like,Kepler-149,1934,,14.9,Earth,160.018032,Jupiter,0.353,1863.0,2014,445
KOI-94 d,Gas Giant,KOI-94,3689,,0.334,Jupiter,22.342989,Jupiter,1.005,1556.0,2013,446
HAT-P-17 c,Gas Giant,HAT-P-17,3189,,3.4,Jupiter,5584.0,Jupiter,1.17,301.0,2010,447
Kepler-646 b,Super Earth,Kepler-646,3776,,4.62,Earth,15.87364565,Earth,1.99,1474.0,2016,448
TIC 257060897 b,Gas Giant,TIC 257060897,1595,,0.67,Jupiter,3.660028,Jupiter,1.49,1650.0,2021,449
Kepler-386 b,Super Earth,Kepler-386,2963,,2.51,Earth,12.31043,Earth,1.39,2879.0,2014,450
K2-365 b,Neptune-like,K2-365,171,,8.78,Earth,23.448172,Jupiter,0.259,611.0,2022,451
K2-323 b,Neptune-like,K2-323,181,,5.06,Earth,24.93,Earth,2.1,386.0,2020,452
Kepler-1692 b,Super Earth,Kepler-1692,2660,,1.42,Earth,5.95966,Earth,1.112,1928.0,2020,453
HD 95338 b,Gas Giant,HD 95338,220,K0.5 V,0.13353,Jupiter,55.087,Jupiter,0.347,121.0,2020,454
HD 62549 b,Gas Giant,HD 62549,1600,,8.72588,Jupiter,14306.88519,Jupiter,1.12,161.0,2022,455
TOI-1468 c,Super Earth,TOI-1468,3604,M3.0 V,6.64,Earth,15.532482,Earth,2.064,81.0,2022,456
NGTS-15 b,Gas Giant,NGTS-15,1714,G6 V,0.751,Jupiter,3.27623,Jupiter,1.1,2566.0,2021,457
